ID,Name,Type,Phase,Frozen,Duration,Start time,Relative time,Average rating,Round number,Division,Date
"1934","Codeforces Round 931 (Div. 2)","CF","FINISHED","false","7200","1709303700","33289726","1866.6666666666667","931","2","3/1/2024"
"1936","Codeforces Round 930 (Div. 1)","CF","FINISHED","false","7200","1709217300","33376126","2650","930","1","2/29/2024"
"1933","Codeforces Round 929 (Div. 3)","ICPC","FINISHED","false","8100","1709044500","33548926","1400","929","3","2/27/2024"
"1923","Educational Codeforces Round 162 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1708698900","33894526","1650","162","2","2/23/2024"
"1926","Codeforces Round 928 (Div. 4)","ICPC","FINISHED","false","8100","1708353300","34240126","1385.7142857142858","928","4","2/19/2024"
"1932","Codeforces Round 927 (Div. 3)","ICPC","FINISHED","false","8100","1708257900","34335526","1500","927","3","2/18/2024"
"1929","Codeforces Round 926 (Div. 2)","CF","FINISHED","false","7200","1708007700","34585726","1583.3333333333333","926","2","2/15/2024"
"1931","Codeforces Round 925 (Div. 3)","ICPC","FINISHED","false","8100","1707834900","34758526","1285.7142857142858","925","3","2/13/2024"
"1928","Codeforces Round 924 (Div. 2)","CF","FINISHED","false","7200","1707644100","34949326","1783.3333333333333","924","2","2/11/2024"
"1927","Codeforces Round 923 (Div. 3)","ICPC","FINISHED","false","8100","1707230700","35362726","1371.4285714285713","923","3","2/6/2024"
"1918","Codeforces Round 922 (Div. 2)","CF","FINISHED","false","7800","1706625300","35968126","1771.4285714285713","922","2","1/30/2024"
"1924","Codeforces Round 921 (Div. 1)","CF","FINISHED","false","7200","1706366700","36226726","2550","921","1","1/27/2024"
"1922","Educational Codeforces Round 161 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1705588500","37004926","1583.3333333333333","161","2","1/18/2024"
"1921","Codeforces Round 920 (Div. 3)","ICPC","FINISHED","false","8100","1705329300","37264126","1328.5714285714287","920","3","1/15/2024"
"1920","Codeforces Round 919 (Div. 2)","CF","FINISHED","false","7200","1705156500","37436926","1857.142857142857","919","2","1/13/2024"
"1915","Codeforces Round 918 (Div. 4)","ICPC","FINISHED","false","9000","1703774100","38819326","1128.5714285714287","918","4","12/28/2023"
"1917","Codeforces Round 917 (Div. 2)","CF","FINISHED","false","7200","1703428500","39164926","1800","917","2","12/24/2023"
"1914","Codeforces Round 916 (Div. 3)","ICPC","FINISHED","false","9000","1702996500","39596926","1444.4444444444443","916","3","12/19/2023"
"1913","Educational Codeforces Round 160 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1702910100","39683326","1733.3333333333333","160","2","12/18/2023"
"1905","Codeforces Round 915 (Div. 2)","CF","FINISHED","false","7200","1702737300","39856126","1716.6666666666667","915","2","12/16/2023"
"1904","Codeforces Round 914 (Div. 2)","CF","FINISHED","false","7200","1702137900","40455526","1728.5714285714287","914","2","12/9/2023"
"1907","Codeforces Round 913 (Div. 3)","ICPC","FINISHED","false","8100","1701787500","40805926","1428.5714285714287","913","3","12/5/2023"
"1902","Educational Codeforces Round 159 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1701614100","40979326","1566.6666666666667","159","2","12/3/2023"
"1903","Codeforces Round 912 (Div. 2)","CF","FINISHED","false","8100","1701362100","41231326","1728.5714285714287","912","2","11/30/2023"
"1900","Codeforces Round 911 (Div. 2)","CF","FINISHED","false","7200","1701009300","41584126","1650","911","2","11/26/2023"
"1901","Educational Codeforces Round 158 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1700836500","41756926","1683.3333333333333","158","2","11/24/2023"
"1898","Codeforces Round 910 (Div. 2)","CF","FINISHED","false","7200","1700404500","42188926","1783.3333333333333","910","2","11/19/2023"
"1899","Codeforces Round 909 (Div. 3)","ICPC","FINISHED","false","8100","1700231700","42361726","1300","909","3","11/17/2023"
"1893","Codeforces Round 908 (Div. 1)","CF","FINISHED","false","7200","1699367700","43225726","2240","908","1","11/7/2023"
"1895","Educational Codeforces Round 157 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1699022100","43571326","1842.857142857143","157","2","11/3/2023"
"1891","Codeforces Round 907 (Div. 2)","CF","FINISHED","false","7200","1698676500","43916926","1633.3333333333333","907","2","10/30/2023"
"1889","Codeforces Round 906 (Div. 1)","CF","FINISHED","false","9000","1698503700","44089726","2514.285714285714","906","1","10/28/2023"
"1887","Codeforces Round 905 (Div. 1)","CF","FINISHED","false","7200","1697972700","44620726","2700","905","1","10/22/2023"
"1883","Codeforces Round 905 (Div. 3)","CF","FINISHED","false","7200","1697972700","44620726","1325","905","3","10/22/2023"
"1884","Codeforces Round 904 (Div. 2)","CF","FINISHED","false","7200","1697958300","44635126","1700","904","2","10/22/2023"
"1881","Codeforces Round 903 (Div. 3)","ICPC","FINISHED","false","8100","1697121300","45472126","1342.857142857143","903","3","10/12/2023"
"1886","Educational Codeforces Round 156 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1696862100","45731326","1900","156","2","10/9/2023"
"1876","Codeforces Round 902 (Div. 1, based on COMPFEST 15 - Final Round)","CF","FINISHED","false","9000","1696755900","45837526","2485.714285714286","902","1","10/8/2023"
"1874","Codeforces Round 901 (Div. 1)","CF","FINISHED","false","10800","1696084500","46508926","2671.4285714285716","901","1","9/30/2023"
"1878","Codeforces Round 900 (Div. 3)","ICPC","FINISHED","false","8100","1695738900","46854526","1385.7142857142858","900","3","9/26/2023"
"1882","Codeforces Round 899 (Div. 2)","CF","FINISHED","false","7200","1695652500","46940926","1833.3333333333333","899","2","9/25/2023"
"1879","Educational Codeforces Round 155 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1695566100","47027326","1650","155","2","9/24/2023"
"1873","Codeforces Round 898 (Div. 4)","ICPC","FINISHED","false","9000","1695306900","47286526","1100","898","4","9/21/2023"
"1867","Codeforces Round 897 (Div. 2)","CF","FINISHED","false","7200","1694442900","48150526","1700","897","2","9/11/2023"
"1868","Codeforces Round 896 (Div. 1)","CF","FINISHED","false","9000","1694354700","48238726","2500","896","1","9/10/2023"
"1872","Codeforces Round 895 (Div. 3)","ICPC","FINISHED","false","8100","1694097300","48496126","1328.5714285714287","895","3","9/7/2023"
"1861","Educational Codeforces Round 154 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1693492500","49100926","1783.3333333333333","154","2","8/31/2023"
"1862","Codeforces Round 894 (Div. 3)","ICPC","FINISHED","false","8100","1692887700","49705726","1342.857142857143","894","3","8/24/2023"
"1860","Educational Codeforces Round 153 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1692282900","50310526","1833.3333333333333","153","2","8/17/2023"
"1858","Codeforces Round 893 (Div. 2)","CF","FINISHED","false","7200","1692110100","50483326","1766.6666666666667","893","2","8/15/2023"
"1859","Codeforces Round 892 (Div. 2)","CF","FINISHED","false","7200","1691850900","50742526","1750","892","2","8/12/2023"
"1857","Codeforces Round 891 (Div. 3)","ICPC","FINISHED","false","8100","1691418900","51174526","1357.142857142857","891","3","8/7/2023"
"1856","Codeforces Round 890 (Div. 2) supported by Constructor Institute","CF","FINISHED","false","7200","1691246100","51347326","1650","890","2","8/5/2023"
"1854","Codeforces Round 889 (Div. 1)","CF","FINISHED","false","9000","1690641300","51952126","2500","889","1","7/29/2023"
"1849","Educational Codeforces Round 152 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1690468500","52124926","1683.3333333333333","152","2","7/27/2023"
"1851","Codeforces Round 888 (Div. 3)","ICPC","FINISHED","false","8100","1690295700","52297726","1314.2857142857142","888","3","7/25/2023"
"1852","Codeforces Round 887 (Div. 1)","CF","FINISHED","false","9000","1690122900","52470526","2616.6666666666665","887","1","7/23/2023"
"1850","Codeforces Round 886 (Div. 4)","ICPC","FINISHED","false","7200","1689950100","52643326","1112.5","886","4","7/21/2023"
"1848","Codeforces Round 885 (Div. 2)","CF","FINISHED","false","7200","1689518100","53075326","1850","885","2","7/16/2023"
